"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
14.25,25.1,83,0,83.3,1.47,NA,"api","alta","success"
41.05,20.05,82,1,45.4,1.34,"Alpha","auth","media","success"
18.48,8.5,79,1,90.5,1.96,"Gamma","db","baja","success"
89.36,NA,83,2,81.2,22.93,"Beta","api","alta","failed"
54.5,8.36,77,3,99.9,6.64,"Alpha","infra","alta","success"
24.98,8.63,86,2,61.4,25.86,"Alpha","db","media",NA
57.95,21.79,84,3,62.2,23.63,"Delta","infra","media","rolled_back"
44.64,16.06,77,2,75.8,77.34,"Alpha","auth","alta","success"
14.6,22.16,106,0,71.7,6.63,"Beta","api","media","rolled_back"
28.66,17.16,80,3,93,7.31,"Gamma","api","baja","success"
17.26,13.07,91,4,82.2,5.81,"Gamma","infra","baja","rolled_back"
45.36,8.13,80,3,75,5.59,"Delta","api","media","success"
21.09,41.75,97,0,76.6,5.59,"Delta","ui","alta","rolled_back"
28.16,34.81,83,3,69.2,2.92,"Delta","auth","alta","failed"
13.94,14.36,92,5,58.8,9.92,"Alpha","api","baja","failed"
16.9,20.83,88,3,74.7,3.61,"Beta","ui","media","rolled_back"
36.37,22.9,101,2,78.6,1.68,"Alpha","test","baja","success"
16.46,46.66,82,1,64.5,6.95,"Alpha","api","media","success"
29.99,18.39,93,2,59.7,7.49,"Gamma","api","alta","success"
37.23,17.89,78,1,77.1,11.98,"Gamma","ui","media","success"
28.81,31.91,85,2,NA,3.71,"Beta","api","media","success"
27.01,37.23,79,1,45.4,7.92,"Delta","auth","baja","failed"
9.83,31.46,82,3,58.4,4.7,"Delta","db","alta","failed"
27.36,28.92,86,1,72,4.71,"Delta","auth","alta","success"
9.39,25.1,95,1,72.8,NA,"Delta","infra","baja","failed"
74.21,13.86,68,3,72.2,3.53,"Beta","api","media","failed"
16.41,20.39,95,7,77.3,18.81,"Gamma","test","media","success"
36.74,NA,75,8,77.2,8.53,"Alpha","test","crítica","success"
47.64,6.03,93,1,84.1,6.66,"Beta","db","media","success"
33.24,28.06,85,1,77.3,3.67,"Delta","api","media","success"
85.02,12.67,92,4,76.5,8.39,"Alpha","infra","media","failed"
18.3,9.55,86,4,95.1,2.48,"Beta","db","media","rolled_back"
45.17,23.95,91,5,82.7,19.93,"Gamma","api","crítica","rolled_back"
16.71,13.95,87,3,82.6,53.68,"Alpha","auth","baja","success"
146.52,3.57,NA,3,87.7,4.48,"Beta","test","baja","failed"
53.59,11.89,78,4,80.9,7.94,"Delta","api","crítica","success"
26.04,4.5,82,1,67.7,8.06,"Gamma",NA,"media","success"
57.38,21.44,84,2,81.9,14.52,"Delta","ui","alta","failed"
14.75,7.79,77,2,61.8,25.7,"Alpha","infra","baja","success"
95.22,23.47,107,4,97,22.97,"Beta","ui","alta","success"
14.75,14.5,75,3,75.6,3.02,"Gamma","db","media","rolled_back"
11.14,35.25,81,5,65.1,17.25,"Delta","api","media","success"
31.86,7.45,89,2,83.4,6.2,"Alpha","ui","media","rolled_back"
60.01,13.77,70,3,64.7,19,"Beta","ui","baja","success"
32.86,8.49,87,7,96.2,8.44,"Delta","db","media","success"
19.45,45.83,64,4,76,5.55,"Alpha","api","baja","success"
75.42,NA,84,4,62.9,6.98,"Beta","infra","alta","success"
179.49,29.15,95,1,NA,8.1,"Alpha","ui","media","rolled_back"
8.41,24.44,NA,0,NA,4.86,"Beta","ui","baja","rolled_back"
92.9,12.46,NA,3,71.3,3.3,"Gamma","api","media","rolled_back"
23.75,14.32,78,3,59.4,1.68,"Alpha","api","baja",NA
65.81,30.13,79,3,66.2,55.96,"Beta","test","alta","failed"
9.23,20.9,84,5,47.8,1.85,"Beta","db","alta","failed"
27.59,18.23,60,3,71.9,8.59,"Alpha","auth","alta","success"
16.93,16.08,72,2,41.5,4.47,"Gamma","infra","baja","failed"
23.5,4.87,89,2,90.6,12.24,"Beta","api","media","success"
15.58,14.1,78,4,47.9,180.5,"Beta","db","media","success"
42.89,10.79,95,2,59.5,13.43,"Beta","auth","crítica","rolled_back"
77.59,15.64,80,2,60.3,4.29,"Beta","auth","media","success"
23.44,18.91,84,1,59.7,5.38,"Beta","infra","baja","failed"
28.23,13.11,87,1,100,25.74,"Delta","auth","baja","failed"
15.21,19.24,83,4,68.9,8.47,"Delta","test","alta","success"
66.49,24.14,74,0,86.7,111.94,"Gamma","test",NA,"success"
49.07,52.79,74,2,72.9,8.35,"Beta","ui","media","success"
11.08,33.86,94,NA,52.7,6.27,"Delta","db","baja","failed"
93.39,34.85,78,2,81.4,5.88,"Gamma","ui","media","success"
14.61,28.18,78,2,62.4,30.05,"Gamma","db","alta","rolled_back"
15.86,18.16,76,2,57.3,2.47,"Delta","test","alta","success"
11.82,10.92,81,4,49.5,6.74,"Gamma","test","alta","success"
14.36,15.68,90,6,76.4,113,NA,"test","media","success"
25.96,51.83,87,4,69.2,5.64,"Gamma","api","media","success"
48.09,17.08,78,3,58.2,7.63,"Delta","ui","media","success"
20.13,13.54,81,4,69,5.92,"Alpha","auth","media","success"
28.81,17.07,78,4,94.6,22.86,"Beta","test","crítica","rolled_back"
27.2,10.39,74,3,82.9,6.22,"Gamma","ui","baja","failed"
75.16,20.89,82,2,90.1,9.65,"Beta","auth","media","failed"
164.37,15.71,90,2,91.5,4.06,"Gamma","test","media","success"
15.67,12.62,96,1,46.8,2.84,"Gamma","api","baja","success"
125.76,4.08,77,2,68.4,10.89,"Beta","ui","media","success"
147.27,19.44,92,4,58.5,11.6,"Alpha","auth","crítica","success"
38.94,24.95,80,2,87.6,12.37,"Alpha","api","alta","success"
62.05,11.6,92,1,57.1,4.57,"Gamma","api","media","success"
9.8,21.58,101,1,78.4,3.2,"Gamma","auth","crítica","rolled_back"
45.98,22.04,82,5,NA,5.25,"Delta","auth","alta","success"
22.63,14.93,69,3,85.6,4.6,"Beta","db","crítica","success"
29.49,16.89,86,5,64.2,10.3,"Gamma","api","media","success"
48.74,10.75,87,4,62.5,3.41,"Delta","auth","crítica","success"
68.26,NA,80,1,88.4,5.33,"Beta","db","baja","failed"
32.06,8.26,85,3,72.7,20.45,"Alpha","test","media","success"
210,31.59,90,3,61.6,11.1,"Alpha","test","media","success"
50.01,21.82,78,3,84.6,4.38,"Delta","auth","media","success"
28.74,11.19,89,1,64.9,17.85,"Alpha","auth","baja","rolled_back"
45.11,NA,83,2,80.5,10.1,"Beta","api","alta","failed"
30.87,24.66,80,3,67.5,7.09,"Beta","infra","alta","success"
15.4,15.56,67,3,80.6,6.49,"Gamma","test","alta","rolled_back"
47.1,17.23,75,5,72.2,18.36,"Beta","db","alta","success"
64.36,6.21,81,7,87.8,12.36,"Alpha","auth","baja","success"
43.29,9.68,77,3,67.9,13.65,"Alpha","test","baja","failed"
42.95,19.52,82,4,77,NA,"Gamma","infra","crítica","success"
36.97,21.23,71,3,59.1,11.34,"Gamma","db","media","rolled_back"
59.95,9.46,85,5,92.2,1.97,"Gamma","auth","baja","success"
13.49,16.85,89,4,57.4,6.56,"Beta","db","baja","failed"
74.5,7.21,73,2,94.3,18.35,"Alpha","api","baja","success"
17.52,23.86,77,3,57,28.43,"Gamma","api","alta","rolled_back"
41.87,7.26,87,2,68.3,11.69,"Gamma","db","baja","success"
57,35.04,82,2,57.6,1.68,"Gamma"," UI","media","success"
39.1,34.96,88,4,NA,4.28,"Beta","ui","baja","success"
11.11,31.4,96,3,76.6,1.09,"Beta","ui","alta","success"
33.68,4.33,77,7,43.5,9.23,"Delta","db","baja","success"
41.86,10.68,78,2,87.8,36.97,"Beta","ui","alta","failed"
66.19,55.91,92,4,49.3,11.9,"Beta","test","media","success"
47.01,13.03,65,2,53.4,2.11,"Delta","db","crítica","failed"
49.59,3.6,97,4,100,11.11,"Delta","db","media","success"
73.69,11.07,85,8,70.4,2.95,"Delta","infra","media","failed"
20.18,11.55,77,2,64.7,16.89,"Gamma","db","baja","failed"
21.48,17.23,95,1,81.7,3.22,"Delta","ui","media","success"
32.92,23.86,81,4,29,18.01,"Beta","db","alta","success"
41.98,4.83,86,1,81.7,8.45,"Alpha","api","alta","failed"
88.57,22.92,89,4,63.8,5.69,"Delta","test","alta","success"
18.07,19.46,101,4,73.3,NA,"Delta","api","baja","success"
17.96,15.03,78,2,81,11.28,"Beta","api","alta","success"
56.94,14.04,72,6,80.7,9.48,"Alpha","api","alta","rolled_back"
25,33.42,99,2,50.8,12.88,"Gamma","db","baja","success"
28.49,30.29,74,4,NA,6.89,"Beta","db","alta","success"
50.59,12.77,94,5,70.2,3.08,"Delta","infra","crítica","success"
21.54,21.93,92,3,88.1,6.2,"Beta",NA,"media","failed"
19.94,14.46,78,3,94.8,10.73,"Alpha","infra","alta","success"
27.66,26.57,101,4,71.4,5.56,"Delta","api","alta","success"
25.17,25.88,86,5,72.8,5.59,"Beta","auth","baja","success"
20.48,12.01,67,4,78.1,8.89,"Gamma","ui","media","success"
61.14,30.2,81,2,82.9,29.85,"Beta","db","alta","success"
23.65,21.72,72,2,80.2,4.64,"Gamma","db","baja","rolled_back"
34.74,17.98,101,8,83.1,6.35,"Alpha","ui","alta","success"
36.45,17.91,83,3,66.1,2.64,"Beta","auth","media","success"
NA,10.24,96,2,71.4,7.17,"Beta","infra","alta","rolled_back"
42.2,12.57,78,2,86.3,3.48,"Alpha","ui","alta","success"
94.74,11.87,85,6,82.3,11.89,"Alpha","infra","alta","success"
32.8,46.5,92,4,51.7,8.23,"Gamma","auth","media","success"
19.25,21.96,84,3,89.8,5.46,"Beta","ui","media","success"
82.91,20.38,79,3,80.1,8.35,"Delta","auth","media","failed"
39.74,16.21,78,5,67.7,2.54,"Alpha","ui","baja","success"
67.34,7.63,74,1,76.6,10.65,"Gamma","api","alta","failed"
38.51,24.05,86,4,71.9,11.58,"Beta","api","crítica","success"
50.88,8.17,104,4,69,20.38,"Alpha","db","media","success"
91.12,9.16,76,2,63.7,12.1,"Beta","test","media","rolled_back"
52.49,13.2,75,0,68.9,19.89,"Alpha","auth","alta","failed"
43.06,8.06,96,6,67.6,2.34,"Beta","api","alta","rolled_back"
20.65,9.24,90,5,64.5,25.95,"Delta","test","baja","success"
49.72,32.21,76,3,81.8,2.23,"Delta","auth","baja","success"
24.78,10.19,84,4,64.1,9.36,"Gamma","ui","media","success"
152.38,11.22,85,4,100,14.68,"Delta","api","crítica","success"
42.1,5.62,73,3,61.8,17.43,"Delta","ui","media","success"
18.94,17.18,101,1,74.8,5.32,"Beta","test","media","failed"
104.45,22.62,85,3,71,2.91,"Alpha","test","media","success"
24,17.88,86,6,86,8.1,"Alpha","infra","crítica","success"
10.91,16.83,74,1,44.6,1.14,"Beta","api","baja","success"
15.94,20.3,89,3,83,5.95,"Alpha","auth","crítica","success"
34.1,18.32,93,4,66.6,20.9,"Delta","ui","media","success"
24.47,8.01,97,2,60,3.76,"Delta","db","crítica","success"
45.65,5.06,87,2,82.1,2.11,"Alpha","test","baja","success"
28.2,14.79,92,1,NA,7.27,"Delta","api","crítica","success"
9.03,48.08,95,0,85.4,17.22,"Alpha","api","baja","rolled_back"
27.04,26.11,90,3,67.5,10.13,"Alpha","ui","alta","success"
114.09,14.18,79,3,61.1,6.61,"Alpha","auth","baja","failed"
24.29,5.86,92,3,80.5,12.49,"Beta","ui","baja","success"
21.93,8.25,77,1,59.7,7.61,"Beta","test","baja","success"
30.43,13.19,90,7,86.3,8.46,"Alpha","api","media","success"
105.33,24.17,84,3,73.6,3.98,"Beta","api","media","rolled_back"
17.99,14.95,96,5,56.4,5.07,"Delta","auth","media","failed"
57.2,14.56,96,4,69.9,5.77,"Alpha","api","crítica","success"
21.55,13.42,89,3,84.4,5.38,"Alpha","ui","baja","rolled_back"
26.33,9.14,100,3,79.1,1.04,"Beta","test","baja","success"
25.83,15.41,89,2,66.4,5.91,"Alpha","api","media","success"
57.21,16.87,83,2,74,12.94,"Gamma","ui","media","success"
50.71,16.32,82,2,NA,NA,"Beta","auth","media","rolled_back"
70.34,12.2,98,1,67.1,8.72,"Alpha","ui","baja","failed"
69.82,9.12,85,2,75.4,103.74,"Alpha","test","alta","success"
150.38,22.58,90,6,89.7,6.19,"Delta","auth","media","success"
34.79,19.96,81,3,74,16.49,"Gamma","db","media","failed"
5.61,5.14,89,3,78,17.31,"Beta","api","media","success"
22.67,27.49,84,1,82.1,3,"Alpha","ui","crítica","success"
19.24,7.16,85,7,49.7,2.93,"Beta","api","alta","failed"
26.92,5.2,104,2,77.3,9.1,"Delta","auth","baja","success"
74.14,4.72,83,4,92,2.81,"Beta","auth","alta","success"
22.24,57.85,85,3,85.5,31.52,"Delta","db","alta","success"
18.84,10.18,92,1,72.2,7.3,"Delta","api","baja","success"
NA,31.66,77,3,59.3,5.04,"Gamma","ui","alta","failed"
54.08,15.12,85,0,71.9,48.04,"Gamma","api","alta","success"
27.93,21.71,100,1,59.4,4.39,"Alpha","db","baja","success"
44.2,22.25,76,0,72.8,5.24,"Gamma","ui","baja","success"
46.93,5.96,100,3,69,3.88,"Beta","api","baja","success"
42.84,5.85,91,5,66.7,6.36,"Gamma","ui","media","success"
22.21,29.99,79,1,81.5,2.64,"Alpha","api","alta","success"
55.54,12.48,96,4,67.4,10.43,"Alpha","api","baja","success"
6.77,6.29,89,4,87.3,5.46,"Delta","db","media","rolled_back"
50.9,23.47,93,4,64.4,4.06,"Beta","ui","alta","success"
43.93,10.89,75,NA,69.1,6.72,"Beta","db","media","failed"
139.23,58.56,74,3,79.1,14.85,"Alpha","db","media","success"
39.82,44.82,92,4,69.5,9.3,"Beta","ui","alta","success"
35.78,18.02,83,3,70.5,8.23,"Gamma","ui","media","success"
76.48,11.46,83,5,63.5,12.8,"Beta","db","media","success"
55.33,28.58,75,3,94.6,5.02,"Beta","api","alta","success"
33.01,20.8,77,3,67,13.45,"Alpha","api","baja","success"
32.63,14.74,89,2,52.3,2.78,"Delta","ui","baja","success"
36.49,39.03,73,5,78,4.2,"Alpha","api","alta","rolled_back"
NA,9.55,102,5,70.1,2.77,"Beta","api","media","success"
78.67,16.95,79,6,67.9,4.03,"Alpha","test","crítica","failed"
22.69,5.32,77,8,85.4,3.39,"Alpha","ui","alta","success"
26.91,11.23,93,3,80.2,9.3,"Alpha","auth","media","failed"
53.61,20.65,102,2,48,20.32,"Alpha","infra","alta","success"
25.05,28.3,88,2,76.8,12.57,"Gamma","db","media","success"
30.8,14.98,91,5,90.6,4.15,"Delta","db","alta","failed"
96.61,13.33,86,3,96.9,21.29,"Gamma","infra","media","success"
21.24,11.51,80,1,46.9,6.23,"Gamma","api","baja","success"
28.25,19.41,92,1,47.5,6.9,"Alpha","api","alta","success"
94.7,20.02,83,3,70.2,3.62,"Alpha","auth","alta","success"
26.06,21.42,80,3,65.3,220.3,"Gamma","auth","alta","success"
22.47,10.28,83,7,99.4,4.09,"Alpha","db","media","rolled_back"
39.66,13.5,74,2,61.7,11.5,"Alpha","ui","alta","rolled_back"
50.87,46.8,69,5,52.7,9.8,"Beta","auth","baja","success"
20.98,9.86,83,8,65.7,9.97,"Alpha","api","baja","success"
30.06,12.39,86,3,63.2,10.4,"Alpha","db","media","failed"
30.37,35.44,90,4,85.5,12.35,"Gamma","api","crítica","success"
16.86,8.5,73,4,99.5,7.84,"Gamma","ui","media","failed"
33.56,21.47,NA,5,NA,1.91,"Delta","infra","media","success"
108.22,32.21,89,1,79.2,22.72,"Beta","api","alta","success"
61.56,9.99,75,2,76.6,3.16,"Beta","infra","baja","rolled_back"
19.87,21.94,70,1,65.1,NA,NA,"test","crítica","failed"
42.36,18.88,86,2,100,4.66,"Delta","test","crítica","failed"
27.85,9.37,87,4,67.9,37.26,"Beta","api","baja","success"
29.53,8.79,76,1,44.4,NA,"Gamma","infra","alta","success"
60.99,9.13,86,6,86.2,7.42,"Alpha","api","media","success"
50.61,36.3,87,7,80.2,5.33,"Beta","ui","media","success"
63.37,5.2,91,2,40.9,20.97,"Gamma","test","alta","rolled_back"
45.63,21.75,104,3,81,17.42,"Beta","db","media","success"
18.9,17.75,91,5,54.8,NA,"Beta","api","crítica","success"
23.38,12.49,83,7,73.4,2.67,"Alpha","api","alta","success"
14.17,17.5,94,1,91.1,14.07,"Beta","db","media","rolled_back"
51.1,17.66,75,2,87.5,17.91,"Gamma","db","media","success"
85.78,20.71,92,1,69.3,15.72,"Beta","api","baja","failed"
10.65,23,91,5,60.5,2.09,"Beta","test","crítica","success"
35.01,36.7,82,6,78.9,5.55,"Gamma","api","baja","success"
47.41,14.96,82,3,100,9.43,"Delta",NA,"media","failed"
28.41,32.75,77,3,63.9,0.78,"Gamma","infra","media","success"
18.58,46.93,89,1,79.3,1.69,"Alpha","infra","baja","failed"
16.29,27.82,85,5,79,4.2,"Gamma","db","baja","success"
81.24,7.33,86,2,90.7,7.55,"Beta","api","alta","failed"
28.55,26.67,101,5,84.3,4.36,"Gamma","db","baja","success"
75.9,7.89,99,3,34.3,7.09,"Alpha","api","alta","success"
21,7.72,99,4,66.7,5.77,"Beta","ui","crítica","success"
81.55,7.66,94,4,50.8,10.24,"Gamma","infra","alta","success"
48.29,8.62,79,3,59.3,11.22,"Alpha","infra","media","success"
33.71,NA,89,4,52.5,6.89,"Alpha","api","media","rolled_back"
74.8,65.47,97,0,NA,17.32,"Alpha","infra","alta","failed"
25.6,10.77,88,3,79,2.39,"Beta","ui","baja","success"
25.68,3.64,84,2,83.1,9.13,"Beta","auth","baja","failed"
32.96,9.4,85,1,84.7,13.79,"Beta","auth","crítica","failed"
NA,8.99,89,1,72.7,19.16,"Gamma","auth","crítica","success"
29.84,42.86,90,1,58.4,16.01,"Beta","ui","baja","success"
29.13,12.95,71,9,70.1,29.39,"Delta","api","baja","success"
18.16,9.99,87,5,79.3,8.47,"Gamma","db","media","rolled_back"
64.76,13.28,99,4,94.7,14.45,"Beta","test","alta","success"
18.41,39.44,87,2,74,55.4,"Alpha","auth","baja","failed"
19.46,16.79,82,4,55,12.78,"Gamma","api","alta","success"
18.06,20.49,70,2,51.4,26.93,"Alpha","ui","crítica","rolled_back"
105.78,13.68,91,2,61.5,4.01,"Beta","ui","alta","failed"
48.9,18.63,91,3,68.7,3.11,"Gamma","ui","alta","success"
50.45,33.08,81,3,53.8,17.59,"Delta","api","crítica","success"
8.34,13.61,76,5,75.7,5.88,"Alpha","api","crítica","failed"
25.38,12.73,100,5,43.8,4.45,"Alpha","db","baja","rolled_back"
74.47,13.2,73,3,59.6,2.04,"Gamma",NA,"media","success"
87.6,14.38,105,5,52.9,5.3,"Alpha","auth","alta","success"
8.1,18.7,92,2,63.8,3.23,"Gamma","api","media","rolled_back"
6.45,17.79,77,1,51.7,3.52,"Delta","infra","media","rolled_back"
12.71,21.99,74,2,61.4,42.19,"Alpha","infra","crítica","success"
12.66,8.35,80,2,90.6,23.84,"Alpha","db","media","success"
55.49,8.78,82,NA,75.3,3.37,"Delta","infra","media","success"
45.53,41.88,90,4,74.8,6.04,"Delta","test","alta","success"
114.86,17.31,82,4,92.1,6.24,"Gamma","test","alta","success"
37.96,28.55,82,4,67,7.62,"Alpha","api","baja","success"
26.02,67.25,83,2,88.2,9.87,"Gamma","api","media","success"
102.4,49.03,105,4,95.1,10.42,"Gamma","db","media","failed"
57,23.7,88,3,70.9,1.7,"Alpha","db","crítica","success"
54.22,27.44,98,3,71.4,13.05,"Delta","api","media","rolled_back"
70.14,13.28,102,4,60.6,5.83,"Beta","ui","alta","failed"
28.51,10,94,3,67.8,7.24,"Alpha","db","baja","success"
42.71,11.8,91,1,77.7,19.78,"Beta","infra","baja","success"
70.7,14.18,88,3,75.2,5.5,"Beta","infra","media","rolled_back"
8.44,12.86,91,3,70.2,8.03,"Alpha","ui","baja","success"
33.48,9.19,90,1,75,8.31,"Beta","auth","media","success"
18,27.61,81,2,78.9,1.95,"Beta","api","alta","failed"
17.63,17.07,99,4,57.2,7.02,"Gamma","db","media","success"
19.23,50.22,84,1,NA,18.89,"Gamma","api","baja","success"
42.65,12.65,84,2,90.9,10.41,"Beta","infra","baja","success"
32.72,15.3,85,3,50.3,0.77,"Alpha","ui","alta","success"
15.14,16.32,95,1,68.9,2.25,"Beta","auth","alta","success"
49.93,59.17,83,3,59.7,16.88,"Beta","ui","media","success"
46.54,NA,80,3,98.5,2.14,"Beta","api","alta","rolled_back"
46.14,22.09,81,0,62.5,3.54,"Beta","api","alta","success"
42.65,33.71,93,5,79.9,4.16,"Gamma","api",NA,"success"
77.66,54.93,96,4,64.5,8.69,"Gamma","infra","crítica","success"
20.67,21.4,100,2,66.2,9.79,"Alpha","infra","alta","success"
21.78,45.61,88,4,76.1,7.47,"Beta","api","alta","success"
55.43,42.5,82,3,63.3,4.9,"Delta","auth","media","success"
50.46,20.74,81,2,61.6,2.32,"Alpha","db","baja","failed"
71.97,20.47,95,2,57.2,8.61,"Beta","auth","media","success"
32.85,34.07,73,4,75.9,2.07,"Alpha","infra","alta","success"
50.58,16.31,78,2,81.5,6.35,"Alpha","api","alta","success"
72.71,31.74,91,3,64.3,4.51,"Beta","db","media","failed"
20.21,19.04,82,4,83.8,1.45,"Delta","ui","crítica","success"
113.72,17.07,91,4,50.1,3.69,"Beta","ui","media","success"
19.87,19.36,80,2,92.9,8.68,"Beta","api","alta","success"
10.55,7.52,94,5,43.9,2.83,"Beta","auth","media","failed"
30.36,19.9,73,2,66.3,10.09,"Alpha","ui","alta","failed"
38.2,12.73,94,5,77.8,25.65,"Alpha","api","baja","success"
NA,7.69,101,3,100,14.5,"Delta",NA,"baja","success"
16.26,5.78,99,1,79.3,3.93,"Beta","infra","baja","failed"
20.7,5.91,66,1,67.2,2.13,"Gamma","test","alta","success"
72.62,6.2,83,3,75.5,2.93,"Alpha","infra","baja","success"
7.61,15.14,88,5,47.4,52.69,"Gamma","ui","crítica","rolled_back"
7.66,18.12,96,5,93.3,2.1,"Delta","api","crítica","failed"
13.41,5.21,88,2,70.1,2.25,"Beta","ui","baja","success"
70.13,14.22,75,4,67.8,38.95,"Gamma","api","media","success"
61.96,15.38,97,2,58.4,5.06,"Beta","test","alta","success"
18.36,14.04,NA,2,51.7,2.4,"Beta","auth","media","success"
34.21,16.79,84,3,44.2,5.12,"Alpha","ui","baja","success"
51.23,30.09,80,1,43.9,8.59,"Delta","ui","baja","success"
46.51,35.93,105,5,55.5,6.17,"Delta","api","alta","success"
48.06,10.9,65,2,82.9,3.7,"Alpha","auth","media","success"
38.02,46.59,69,3,79.1,5.65,"Delta","test","media","success"
41.62,47.33,89,1,63.4,2.08,"Gamma","db","media","success"
12.08,15.36,79,5,100,4.42,"Gamma","auth","crítica","success"
145.52,8.26,76,0,93.7,0.67,"Alpha","api","baja","success"
29.1,15.24,69,4,68,13.69,"Alpha","db","media","success"
46.73,13.71,82,2,54.6,13.38,"Alpha","ui","baja","failed"
12.77,20.89,84,4,72.6,6.64,"Beta","ui","baja","success"
25.64,11.87,89,2,55.7,7.38,"Beta","ui","media","success"
56.22,NA,86,2,59.9,36.46,"Alpha","auth","media",NA
36.69,8.85,80,5,95.7,8,"Alpha","auth","alta","success"
39.78,11.4,92,3,75.5,9.37,"Alpha","api","alta","failed"
13.27,12.78,87,2,88.1,41.7,"Alpha","infra","baja","success"
46.74,15.51,87,2,57.9,3.33,"Beta","auth","media","success"
23.16,53.43,92,3,67,3.76,"Beta","db","baja","rolled_back"
10.36,29.99,83,0,86.3,7.68,"Beta","api","baja","success"
51.2,8.18,86,3,78.7,2.73,"Alpha","api","alta","success"
33.48,14.57,89,3,88,21.34,"Beta","api","media","success"
19.81,30.64,86,4,42.2,8.61,"Alpha","api","alta","success"
40.15,29.6,88,1,56.6,4.79,"Alpha","api","media","success"
9.01,12.38,82,3,57.1,14.7,"Gamma","auth","crítica","success"
141.91,9.33,77,1,74.8,7.96,"Delta","api","media","success"
6.34,14.56,81,1,89.8,6.56,"Beta","api","alta","success"
41.64,10.04,84,0,76.1,4.69,"Delta","ui","media","success"
28.24,36.9,81,2,NA,41.2,"Beta","auth","baja","rolled_back"
14.49,9.56,77,4,70.8,9.27,"Beta","auth","baja","success"
NA,12.76,92,7,100,4.73,"Gamma","infra","baja","success"
24.91,17.89,75,4,80.9,22.11,"Alpha","test","crítica","success"
96.32,10.07,92,5,71.7,3.82,"Alpha","db","crítica","failed"
15.3,NA,76,4,74.7,3.59,"Beta","api","baja","success"
84.42,8.57,89,4,79.9,6.59,"Beta","infra","media","success"
48.76,9.32,76,2,71.4,2.54,"Delta","db","alta","success"
15.81,19.72,103,3,91.7,12.04,"Alpha","db","baja","success"
28.99,14.79,89,3,69.1,5.6,"Delta","ui","crítica","success"
17.52,7.24,74,2,80,9.51,"Beta","api","media","success"
8.16,8.13,89,2,93.1,4.46,"Alpha","auth","media","rolled_back"
